rk,TEAM,CONF,RECORD,KADJ EM,adjo,adjo.rank,adjd,adjd.rank,adjt,adjt.rank,luck,luck.rank,sos-adjem,sos-adjem.rank,sos-oppo,sos-oppo.rank,sos-oppd,sos-oppd.rank,ncsos-adjem,ncsos-adjem.rank,seed,conference,KADJ T,adjtempo.rank,KADJ O,adjoe.rank,off-efg%,off-efg%.rank,off-to%,off-to%.rank,off-or%,off-or%.rank,off-ftrate,off-ftrate.rank,KADJ D,adjde.rank,def-efg%,def-efg%.rank,def-to%,def-to%.rank,def-or%,def-or%.rank,def-ftrate,def-ftrate.rank,tempo-adj,tempo-adj.rank,tempo-raw,tempo-raw.rank,off. efficiency-adj,off. efficiency-adj.rank,off. efficiency-raw,off. efficiency-raw.rank,def. efficiency-adj,def. efficiency-adj.rank,def. efficiency-raw,def. efficiency-raw.rank,YEAR,BARTHAG,W,L,WIN%,GAMES
152,Air Force,MWC,12-16,+1.27,105.2,111,104.0,192,52.9,327,-.074,299,+1.99,123,104.1,111,102.1,140,-6.08,290,,MWC,52.9,327,105.2,111,57.9,1,20.4,112,15.4,327,43.0,42,104.0,192,51.1,230,23.4,67,34.2,250,45.4,299,52.9,327,55.1,327,105.2,111,103.8,94,104.0,192,103.7,231,2003,0.5329353938175484,12,16,0.42857142857142855,28
178,Akron,MAC,14-14,-0.92,110.0,44,110.9,302,67.0,168,-.025,230,-1.77,187,102.3,168,104.0,227,-6.51,293,,MAC,67.0,168,110.0,44,53.5,23,17.8,12,27.9,285,46.3,17,110.9,302,54.6,318,21.6,157,37.1,304,38.9,211,67.0,168,68.6,167,110.0,44,110.5,19,110.9,302,110.2,315,2003,0.47659010845822897,14,14,0.5,28
38,Alabama,SEC,17-12,+14.60,110.3,39,95.7,54,65.3,243,-.015,205,+9.55,16,106.6,32,97.1,11,+2.31,102,10,SEC,65.3,243,110.3,39,47.6,239,19.7,72,36.5,45,36.4,161,95.7,54,47.6,83,20.6,215,29.8,65,31.6,63,65.3,243,66.1,262,110.3,39,103.7,96,95.7,54,98.6,104,2003,0.8365575969921133,17,12,0.5862068965517241,29
309,Alabama A&M,SWAC,7-18,-18.25,90.0,310,108.2,275,72.3,13,-.087,308,-13.35,322,92.9,327,106.3,293,-8.38,312,,SWAC,72.3,13,90.0,310,45.3,299,24.3,282,31.5,185,35.9,176,108.2,275,50.6,217,24.9,15,34.0,240,41.1,250,72.3,13,75.5,9,90.0,310,92.7,295,108.2,275,99.5,130,2003,0.1073620303456649,7,18,0.28,25
257,Alabama St.,SWAC,14-15,-9.95,90.9,303,100.9,141,64.2,275,-.025,229,-10.37,310,96.2,313,106.5,298,+1.53,118,,SWAC,64.2,275,90.9,303,48.0,223,25.0,301,34.1,99,29.8,296,100.9,141,45.2,14,22.2,123,30.1,72,41.2,252,64.2,275,67.4,226,90.9,303,93.7,285,100.9,141,94.2,25,2003,0.23143000753202972,14,15,0.4827586206896552,29
311,Albany,AE,7-21,-18.51,94.8,274,113.3,317,65.9,209,+.050,59,-6.11,268,98.6,270,104.7,260,-7.64,303,,AE,65.9,209,94.8,274,48.7,190,18.2,21,21.5,324,23.6,325,113.3,317,53.8,304,21.8,144,39.5,323,27.6,11,65.9,209,67.4,225,94.8,274,95.6,263,113.3,317,109.8,314,2003,0.1140420523300259,7,21,0.25,28
278,Alcorn St.,SWAC,14-19,-11.79,92.5,294,104.3,202,70.5,43,+.026,95,-8.22,292,96.7,305,104.9,269,+3.49,72,,SWAC,70.5,43,92.5,294,46.9,258,24.8,296,33.1,131,35.6,182,104.3,202,48.4,120,22.5,105,34.8,268,39.5,226,70.5,43,73.8,20,92.5,294,93.0,292,104.3,202,98.0,87,2003,0.20089318864035208,14,19,0.42424242424242425,33
146,American,Pat,16-14,+1.95,103.6,141,101.6,153,62.9,297,-.101,314,-5.66,261,98.0,281,103.6,208,-2.26,212,,Pat,62.9,297,103.6,141,51.5,84,20.4,111,27.2,294,30.9,287,101.6,153,48.7,132,22.6,102,31.7,139,31.2,57,62.9,297,63.7,304,103.6,141,103.3,110,101.6,153,96.2,50,2003,0.5558111180014211,16,14,0.5333333333333333,30
173,Appalachian St.,SC,16-10,-0.69,103.5,142,104.2,199,76.1,1,+.081,20,-3.50,224,100.6,216,104.1,234,+3.37,77,,SC,76.1,1,103.5,142,49.9,144,20.2,98,31.7,177,40.6,81,104.2,199,51.5,252,23.4,69,33.4,215,29.1,26,76.1,1,78.6,1,103.5,142,104.2,87,104.2,199,102.2,200,2003,0.4806307124846374,16,10,0.6153846153846154,26
4,Arizona,P10,28-4,+26.80,115.6,10,88.8,8,72.7,11,-.007,181,+8.69,31,107.2,14,98.5,52,+8.19,26,1,P10,72.7,11,115.6,10,51.5,82,19.0,36,38.7,11,36.8,151,88.8,8,45.8,27,21.7,150,30.4,81,26.9,10,72.7,11,75.9,5,115.6,10,110.7,17,88.8,8,92.1,11,2003,0.9540480179982204,28,4,0.875,32
30,Arizona St.,P10,20-12,+16.49,113.9,18,97.4,78,66.9,169,-.014,201,+8.74,30,106.4,41,97.7,26,+5.43,50,10,P10,66.9,169,113.9,18,51.3,89,19.5,63,37.1,33,45.4,26,97.4,78,49.9,191,21.8,139,31.3,117,37.3,175,66.9,169,69.7,123,113.9,18,108.5,32,97.4,78,100.1,146,2003,0.8581110228640615,20,12,0.625,32
