rk,TEAM,CONF,RECORD,KADJ EM,adjo,adjo.rank,adjd,adjd.rank,adjt,adjt.rank,luck,luck.rank,sos-adjem,sos-adjem.rank,sos-oppo,sos-oppo.rank,sos-oppd,sos-oppd.rank,ncsos-adjem,ncsos-adjem.rank,seed,conference,KADJ T,adjtempo.rank,KADJ O,adjoe.rank,off-efg%,off-efg%.rank,off-to%,off-to%.rank,off-or%,off-or%.rank,off-ftrate,off-ftrate.rank,KADJ D,adjde.rank,def-efg%,def-efg%.rank,def-to%,def-to%.rank,def-or%,def-or%.rank,def-ftrate,def-ftrate.rank,tempo-adj,tempo-adj.rank,tempo-raw,tempo-raw.rank,off. efficiency-adj,off. efficiency-adj.rank,off. efficiency-raw,off. efficiency-raw.rank,def. efficiency-adj,def. efficiency-adj.rank,def. efficiency-raw,def. efficiency-raw.rank,YEAR,BARTHAG,W,L,WIN%,GAMES
44,Air Force,MWC,18-12,+13.40,112.2,35,98.9,83,54.3,329,-.084,314,+2.63,115,104.4,125,101.8,104,-1.50,206,,MWC,54.3,329,112.2,35,54.2,21,16.8,4,24.7,317,27.4,319,98.9,83,52.7,294,28.7,1,33.8,225,45.3,304,54.3,329,55.5,329,112.2,35,110.0,30,98.9,83,98.4,89,2005,0.8101520067515031,18,12,0.6,30
72,Akron,MAC,19-10,+10.10,106.0,111,95.9,44,66.2,162,-.014,198,+2.55,117,105.7,84,103.2,169,-1.97,217,,MAC,66.2,162,106.0,111,51.8,58,19.6,72,29.8,241,36.5,163,95.9,44,46.1,28,22.5,86,35.0,270,37.1,168,66.2,162,67.0,175,106.0,111,105.6,74,95.9,44,97.8,74,2005,0.7597904110112451,19,10,0.6551724137931034,29
18,Alabama,SEC,24-8,+20.51,118.8,9,98.3,78,62.8,292,+.033,92,+6.84,45,106.5,57,99.6,40,-1.28,198,5,SEC,62.8,292,118.8,9,55.6,8,19.4,65,34.1,91,43.8,24,98.3,78,47.0,59,17.2,321,28.4,37,25.3,8,62.8,292,64.8,262,118.8,9,114.7,11,98.3,78,100.1,129,2005,0.8982838361654755,24,8,0.75,32
278,Alabama A&M,SWAC,15-14,-12.49,90.5,316,102.9,169,72.8,10,-.023,224,-14.52,328,92.4,327,106.9,308,+1.14,128,16,SWAC,72.8,10,90.5,316,44.9,306,20.2,104,29.1,253,40.6,70,102.9,169,46.9,58,26.3,8,34.6,251,32.2,79,72.8,10,73.6,16,90.5,316,92.3,297,102.9,169,92.1,9,2005,0.18592795499183745,15,14,0.5172413793103449,29
301,Alabama St.,SWAC,13-14,-15.76,87.1,323,102.8,165,61.8,303,+.083,17,-12.85,326,93.7,324,106.6,300,+1.14,129,,SWAC,61.8,303,87.1,323,42.1,324,23.2,263,31.8,184,42.3,42,102.8,165,47.6,81,22.2,99,28.6,42,38.0,190,61.8,303,64.4,272,87.1,323,88.3,322,102.8,165,93.6,24,2005,0.12944471415582284,13,14,0.48148148148148145,27
161,Albany,AE,13-15,+0.22,103.6,150,103.4,183,65.1,210,-.121,328,-4.63,254,98.5,290,103.1,166,-5.52,292,,AE,65.1,210,103.6,150,49.7,153,22.2,219,32.1,171,39.9,79,103.4,183,49.0,148,23.0,60,32.8,195,32.7,87,65.1,210,65.5,236,103.6,150,102.1,139,103.4,183,97.9,75,2005,0.5055553286716704,13,15,0.4642857142857143,28
327,Alcorn St.,SWAC,7-22,-27.05,79.0,328,106.1,230,68.9,58,+.027,105,-12.69,325,94.4,317,107.1,314,-0.69,179,,SWAC,68.9,58,79.0,328,41.9,326,27.2,329,29.1,258,39.6,86,106.1,230,48.3,118,22.6,80,34.4,244,49.2,321,68.9,58,70.6,60,79.0,328,80.1,328,106.1,230,97.7,72,2005,0.03255450829452201,7,22,0.2413793103448276,29
185,American,Pat,16-12,-1.95,101.8,187,103.7,187,63.9,256,+.041,73,-3.66,234,100.0,249,103.7,195,+0.70,140,,Pat,63.9,256,101.8,187,51.1,85,22.1,217,30.1,233,32.0,274,103.7,187,47.9,90,19.6,252,28.5,40,33.0,95,63.9,256,65.2,253,101.8,187,101.0,175,103.7,187,99.4,107,2005,0.4470349231685129,16,12,0.5714285714285714,28
182,Appalachian St.,SC,18-12,-1.84,102.0,183,103.8,190,67.1,119,+.007,148,-5.70,265,98.6,288,104.3,221,-1.49,204,,SC,67.1,119,102.0,183,50.4,113,21.1,157,30.2,230,29.4,310,103.8,190,48.9,146,23.1,52,33.9,231,33.0,93,67.1,119,70.2,69,102.0,183,101.7,150,103.8,190,99.1,104,2005,0.44987610084576424,18,12,0.6,30
13,Arizona,P10,30-7,+22.22,116.7,10,94.5,30,68.6,75,+.027,104,+8.12,30,107.8,22,99.7,44,+3.33,79,3,P10,68.6,75,116.7,10,53.4,28,20.6,123,39.7,8,30.9,290,94.5,30,49.2,162,22.4,93,32.4,183,28.2,24,68.6,75,70.4,65,116.7,10,112.1,15,94.5,30,98.2,81,2005,0.9188316187248488,30,7,0.8108108108108109,37
70,Arizona St.,P10,18-14,+10.32,111.1,48,100.8,123,68.6,73,-.050,277,+5.16,76,105.6,85,100.5,70,-4.68,278,,P10,68.6,73,111.1,48,51.1,84,20.5,113,36.0,46,41.8,52,100.8,123,49.6,183,20.7,194,30.2,82,34.7,123,68.6,73,70.7,54,111.1,48,107.2,56,100.8,123,101.5,169,2005,0.7537775535750696,18,14,0.5625,32
56,Arkansas,SEC,18-12,+11.98,106.2,108,94.2,29,65.4,199,-.063,297,+2.84,111,104.9,111,102.1,115,-9.99,317,,SEC,65.4,199,106.2,108,51.1,87,20.6,119,35.8,50,37.4,139,94.2,29,46.1,27,24.4,28,33.9,228,39.6,233,65.4,199,67.4,161,106.2,108,105.3,81,94.2,29,93.6,23,2005,0.7988134999844209,18,12,0.6,30
146,Arkansas Little Rock,SB,18-10,+1.69,102.6,168,100.9,127,63.3,279,+.129,4,+1.90,126,103.8,143,101.8,106,+6.41,31,,SB,63.3,279,102.6,168,49.7,150,22.3,227,32.3,161,40.9,65,100.9,127,49.0,152,22.5,84,34.8,266,37.2,171,63.3,279,65.2,252,102.6,168,99.6,202,100.9,127,101.3,163,2005,0.5478882754715947,18,10,0.6428571428571429,28
322,Arkansas Pine Bluff,SWAC,6-20,-22.97,83.9,325,106.8,240,66.6,138,-.038,260,-11.12,313,94.2,321,105.3,264,+12.64,6,,SWAC,66.6,138,83.9,325,41.7,328,23.9,285,27.0,293,28.7,316,106.8,240,47.2,65,20.9,176,31.9,157,37.2,173,66.6,138,69.3,94,83.9,325,83.1,326,106.8,240,98.7,98,2005,0.058672410510172274,6,20,0.23076923076923078,26
158,Arkansas St.,SB,16-13,+0.34,105.8,115,105.5,225,68.4,78,-.026,235,-0.78,173,102.3,186,103.1,161,-3.76,249,,SB,68.4,78,105.8,115,49.6,157,20.8,138,35.2,64,37.2,146,105.5,225,50.2,209,21.0,169,34.4,247,43.3,290,68.4,78,70.9,47,105.8,115,104.8,93,105.5,225,103.5,224,2005,0.5081630283365136,16,13,0.5517241379310345,29
325,Army,Pat,3-24,-26.29,88.6,321,114.9,328,61.4,307,-.079,311,-5.10,261,98.7,287,103.8,201,-7.92,309,,Pat,61.4,307,88.6,321,45.8,287,23.7,276,15.9,330,30.0,303,114.9,328,52.2,286,19.3,273,37.2,317,30.3,47,61.4,307,63.0,301,88.6,321,86.0,323,114.9,328,109.8,316,2005,0.04791622924229382,3,24,0.1111111111111111,27
149,Auburn,SEC,14-17,+1.53,106.8,99,105.3,222,67.6,108,+.064,39,+6.51,53,106.5,56,100.0,55,-2.71,234,,SEC,67.6,108,106.8,99,49.4,164,20.6,124,30.0,236,32.1,270,105.3,222,53.2,301,21.7,129,37.4,319,36.5,152,67.6,108,68.6,116,106.8,99,101.6,152,105.3,222,108.5,298,2005,0.5405760318254837,14,17,0.45161290322580644,31
183,Austin Peay,OVC,13-19,-1.93,99.8,220,101.7,147,64.4,235,-.032,247,-0.65,168,104.1,133,104.7,235,+4.35,63,,OVC,64.4,235,99.8,220,49.0,182,21.2,166,29.1,255,35.9,182,101.7,147,51.4,253,22.9,65,31.5,139,40.9,252,64.4,235,64.7,263,99.8,220,99.2,212,101.7,147,101.9,184,2005,0.4459915640120071,13,19,0.40625,32
157,BYU,MWC,9-21,+0.37,101.4,196,101.1,129,65.4,197,-.095,321,+7.41,38,107.8,23,100.4,64,+6.10,33,,MWC,65.4,197,101.4,196,47.4,247,21.9,203,30.4,222,32.4,264,101.1,129,51.1,242,20.7,195,32.7,193,35.5,139,65.4,197,65.8,229,101.4,196,96.4,244,101.1,129,105.0,254,2005,0.5085177006476588,9,21,0.3,30
96,Ball St.,MAC,15-13,+6.59,109.0,70,102.4,157,65.8,183,-.017,209,+4.33,91,106.3,63,102.0,110,+3.79,72,,MAC,65.8,183,109.0,70,49.6,155,18.3,29,34.1,93,38.0,125,102.4,157,51.0,237,20.7,190,30.3,88,41.7,267,65.8,183,65.3,244,109.0,70,106.3,60,102.4,157,104.8,250,2005,0.6722333159958415,15,13,0.5357142857142857,28
236,Baylor,B12,9-19,-7.51,103.5,151,111.1,300,63.8,258,-.051,278,+5.25,73,104.9,110,99.7,41,-20.99,330,,B12,63.8,258,103.5,151,51.1,83,24.1,296,30.8,213,36.5,161,111.1,300,56.2,329,24.7,24,39.8,328,35.4,137,63.8,258,65.5,237,103.5,151,99.9,198,111.1,300,111.2,322,2005,0.30685168704949856,9,19,0.32142857142857145,28
221,Belmont,ASun,14-16,-6.13,98.7,232,104.8,214,65.9,177,-.050,276,-7.89,294,99.6,260,107.5,323,+3.30,82,,ASun,65.9,177,98.7,232,51.4,70,20.7,128,23.7,321,33.7,241,104.8,214,49.8,188,23.1,53,35.6,292,39.9,239,65.9,177,68.3,127,98.7,232,101.2,164,104.8,214,100.5,143,2005,0.3341128297387811,14,16,0.4666666666666667,30
313,Bethune Cookman,MEAC,13-17,-18.38,90.7,313,109.1,280,67.2,116,+.073,29,-12.40,320,93.3,325,105.7,274,-4.40,267,,MEAC,67.2,116,90.7,313,49.3,171,22.8,250,24.6,318,32.1,268,109.1,280,49.3,163,24.1,34,32.3,181,41.5,262,67.2,116,69.2,96,90.7,313,92.1,299,109.1,280,98.6,93,2005,0.10677290477719219,13,17,0.43333333333333335,30
193,Binghamton,AE,12-17,-2.73,98.5,234,101.2,134,63.4,274,-.048,272,-2.00,194,101.0,224,103.0,153,+2.07,106,,AE,63.4,274,98.5,234,45.3,296,20.8,141,32.8,135,32.8,259,101.2,134,48.7,132,22.8,68,28.5,41,42.3,272,63.4,274,64.5,268,98.5,234,95.9,253,101.2,134,98.2,84,2005,0.42287423220368675,12,17,0.41379310344827586,29
220,Birmingham Southern,BSth,16-14,-6.00,103.4,154,109.4,284,59.7,320,-.015,202,-7.94,296,97.8,301,105.8,276,-3.57,246,,BSth,59.7,320,103.4,154,50.7,103,21.4,176,32.0,175,46.4,9,109.4,284,48.9,145,19.1,282,28.7,44,43.2,287,59.7,320,61.5,316,103.4,154,104.3,101,109.4,284,102.8,207,2005,0.3432897246747166,16,14,0.5333333333333333,30
214,Boise St.,WAC,16-18,-5.40,104.4,138,109.8,290,69.1,51,+.079,23,-1.10,179,101.2,219,102.3,130,-9.56,315,,WAC,69.1,51,104.4,138,50.0,134,21.5,187,32.5,152,30.7,294,109.8,290,51.6,261,19.3,274,33.6,222,36.9,160,69.1,51,69.8,84,104.4,138,101.8,147,109.8,290,107.3,286,2005,0.35894299040605576,16,18,0.47058823529411764,34
25,Boston College,BE,25-5,+18.30,114.3,23,96.0,46,64.8,226,+.078,24,+6.60,51,105.8,81,99.2,28,-4.21,262,4,BE,64.8,226,114.3,23,49.2,177,20.0,96,40.4,4,42.8,36,96.0,46,47.0,60,21.0,172,33.2,207,24.6,3,64.8,226,65.5,235,114.3,23,109.4,35,96.0,46,97.5,67,2005,0.8814779911837204,25,5,0.8333333333333334,30
92,Boston University,AE,20-9,+6.83,100.7,207,93.9,24,62.0,302,+.022,110,-3.28,220,99.9,254,103.2,168,-0.67,177,,AE,62.0,302,100.7,207,47.3,249,18.9,46,32.7,140,36.3,165,93.9,24,41.8,1,21.8,124,31.5,134,27.5,15,62.0,302,62.5,308,100.7,207,100.1,194,93.9,24,88.9,2,2005,0.6908352903535826,20,9,0.6896551724137931,29
133,Bowling Green,MAC,18-11,+3.23,107.6,83,104.4,196,65.1,211,+.104,9,+2.67,113,105.4,93,102.7,147,-2.16,221,,MAC,65.1,211,107.6,83,54.6,16,22.4,234,27.4,287,36.8,157,104.4,196,51.0,240,20.2,223,30.2,85,43.7,293,65.1,211,65.3,245,107.6,83,105.8,66,104.4,196,105.7,264,2005,0.5859374954451473,18,11,0.6206896551724138,29
126,Bradley,MVC,13-15,+3.73,102.4,172,98.6,81,70.4,33,+.009,141,+5.10,77,107.1,36,102.0,114,+0.47,150,,MVC,70.4,33,102.4,172,48.1,224,22.7,243,33.8,98,35.8,185,98.6,81,48.8,138,19.9,234,30.5,92,42.8,281,70.4,33,69.9,79,102.4,172,99.9,197,98.6,81,101.7,178,2005,0.6070378114271499,13,15,0.4642857142857143,28
239,Brown,Ivy,12-16,-7.73,99.1,226,106.8,239,67.8,100,-.022,223,-4.67,257,99.0,281,103.6,190,-4.65,277,,Ivy,67.8,100,99.1,226,48.6,194,20.7,133,26.5,302,39.5,88,106.8,239,51.7,267,23.8,41,34.0,232,28.3,25,67.8,100,67.0,174,99.1,226,98.2,228,106.8,239,101.0,155,2005,0.2972291309253811,12,16,0.42857142857142855,28
95,Bucknell,Pat,23-10,+6.69,102.2,176,95.6,41,63.1,281,+.063,40,-2.34,198,101.4,210,103.7,197,+2.28,97,14,Pat,63.1,281,102.2,176,51.3,77,23.8,280,29.5,248,42.4,39,95.6,41,45.1,16,23.7,42,31.0,109,39.2,224,63.1,281,63.4,297,102.2,176,100.3,193,95.6,41,92.8,14,2005,0.6830289636988697,23,10,0.696969696969697,33
76,Buffalo,MAC,23-10,+9.87,107.4,87,97.5,68,68.6,72,+.056,50,+3.27,104,105.5,89,102.2,126,-2.24,222,,MAC,68.6,72,107.4,87,50.7,101,21.5,184,34.5,77,36.9,155,97.5,68,48.8,135,22.7,75,32.0,168,39.0,216,68.6,72,69.1,100,107.4,87,105.0,88,97.5,68,99.6,112,2005,0.7525278111405475,23,10,0.696969696969697,33
145,Butler,Horz,13-15,+1.70,109.6,60,107.9,263,58.1,326,-.119,326,-0.71,171,102.6,179,103.3,179,-0.90,183,,Horz,58.1,326,109.6,60,53.5,26,16.8,3,21.1,328,32.5,263,107.9,263,52.2,287,19.5,254,31.2,119,33.6,105,58.1,326,57.9,327,109.6,60,108.8,43,107.9,263,106.1,267,2005,0.544822791413897,13,15,0.4642857142857143,28
311,Cal Poly,BW,5-22,-17.87,96.8,257,114.7,327,71.2,18,+.003,154,-1.07,178,101.9,198,103.0,152,-3.80,250,,BW,71.2,18,96.8,257,48.3,212,23.4,268,26.8,295,34.1,231,114.7,327,54.7,319,18.5,303,32.0,166,42.6,275,71.2,18,71.0,45,96.8,257,94.6,271,114.7,327,113.0,328,2005,0.1244182288167882,5,22,0.18518518518518517,27
117,Cal St. Fullerton,BW,21-11,+4.53,106.5,104,101.9,152,70.6,27,+.062,42,-0.51,164,102.9,168,103.4,183,-2.42,225,,BW,70.6,27,106.5,104,50.3,120,18.6,35,34.2,87,22.2,330,101.9,152,51.9,275,20.7,193,25.7,5,34.5,119,70.6,27,69.6,89,106.5,104,105.4,77,101.9,152,101.5,170,2005,0.6242812234450392,21,11,0.65625,32
99,Cal St. Northridge,BW,18-13,+6.56,103.3,155,96.7,56,68.5,76,-.069,305,-0.92,174,102.7,175,103.7,192,+1.19,126,,BW,68.5,76,103.3,155,50.0,132,22.8,246,34.4,82,41.3,57,96.7,56,50.1,206,27.9,3,34.8,265,41.6,264,68.5,76,69.4,90,103.3,155,102.3,135,96.7,56,95.9,45,2005,0.6811964591518617,18,13,0.5806451612903226,31
